飞周兄弟 | 还袭击 | Racism | hate [END]
NULL | 生了分月付款，生完滚蛋 | others | hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | hate [END]
你 | 前列腺还好吗？ | non-hate | non-hate [END]
黑人 | 把本来平静安宁的社会搞得乌烟瘴气 | Racism | hate [END]
女拳 | 搞得跟什么一样 | Sexism | hate [END]
网上打拳的都是男的有钱挣 | NULL | others | hate [END]
广东人 | 丑人多 | non-hate | non-hate [END]
NULL | 阳谋 | non-hate | non-hate [END]
东方卫视 | 女拳卫士 | Sexism | hate [END]
丰县 | 丢尽了江苏的脸 | non-hate | non-hate [END]
黑人 | 看不上 | non-hate | non-hate [END]
她们这样的思想 | 是现在这个时代的思想 | non-hate | non-hate [END]
NULL | 真心觉得安徽人大多数在网上太老实了 | others | non-hate [END]
女拳 | 欧美主体民族基本没多少了，现在都是混血民族了，这都是拜女拳的服 | Sexism | hate [END]
NULL | 皮套人 | others | non-hate [END]
NULL | 图个器大活好吧 | others | hate [END]
NULL | 翻身逆袭 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 男人的武力已经被削得越来越弱了 | non-hate | non-hate [END]
安徽 | 在上海被歧视 | Region | hate [END]
不结婚就完事了 | 真想不懂都22年了解放那么久了 | non-hate | non-hate [END]
北方人上人 | 跑来野蛮之地给野蛮人打工 | Region | hate [END]
自己过的好就行了 | 苏北最穷的地方能吊打中国的大部分城市 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
嫁黑人 | 去非洲 | non-hate | non-hate [END]
NULL | 被嘿嘿玩过 | others | non-hate [END]
我们的学校 | 现在变成了妓院 | others | hate [END]
亩人 | 需要被尊重 | others | non-hate [END]
NULL | 各有所爱 | non-hate | non-hate [END]
黑人 | 早晚会改观 | Racism | hate [END]
NULL | 别举报 | LGBTQ | hate [END]
NULL | 爆杀小仙女 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | non-hate | non-hate [END]
知乎很多东北人 | 喜欢代表北方，挑起南北对立 | Region | hate [END]
NULL | 换男的 | non-hate | non-hate [END]
哈尔滨男人 | 好惨 | non-hate | non-hate [END]
大猩猩 | 不当命的现象 | Racism | hate [END]
美国 | 警察不管 | non-hate | non-hate [END]
你老公 | 要是知道了，可能会离婚 | non-hate | non-hate [END]
在天龙人眼里，吴签 | 没有宁波黑人高端 | Sexism | hate [END]
东夷 | 铸造华夏族的重要一部分 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
全部女生 | 都会找黑人 | Racism, Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 去理性 | others | hate [END]
江苏人 | 独占八斗 | Region | non-hate [END]
小红书上面的女的 | 基本一个比一个丑 | Sexism | hate [END]
你他们 | 下一个就是你他们 | non-hate | non-hate [END]
感觉是恨国党的天下 | 有些话乍一听有点道理，但细品后觉得真的是故意搞分裂 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
上海夫妻 | 老婆生了个黑人小孩 | Racism, Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
温州 | 骗子最多 | non-hate | non-hate [END]
川渝 | 很歧视北方 | Region | hate [END]
大病 | 容易人传人，必须隔离 | others | hate [END]
蛤蚧 | 又替黑非洲来抢劫埃及文明啦 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
友爱 | 以txl为荣是变态 | LGBTQ | hate [END]
尼玛的瞎好 | 一群gay不挑人 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 人手一箱舍得酒 | others | non-hate [END]
前男友是黑人 | 无法接受 | Racism | hate [END]
NULL | 刷抖音都有傻B女 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
团结起来 | 对付地域黑喷子 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 我觉得恶性 | non-hate | non-hate [END]
黑人 | 专门勾搭中国妇女 | Racism | hate [END]
2. 直男 | 无法转同性恋 | non-hate | non-hate [END]
广东人 | 干了坏事 | non-hate | non-hate [END]
NULL | 该死 | others | hate [END]
女人 | 无法交流 | Sexism | hate [END]
卡菲勒 | 是同性恋 | LGBTQ, others | hate [END]
NULL | NULL | non-hate | non-hate [END]
变态基佬 | 不管怎么都应该提防 | LGBTQ | hate [END]
江苏人 | 默认自己是日本的 | non-hate | non-hate [END]
又同又飞舞的 | 该骂的是 | LGBTQ | hate [END]
河南人 | 没有一点办法了 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 被打死 | others | hate [END]
没有被全国黑过的地方 | 不是太穷，就是太怂 | Region | hate [END]
NULL | 太恶心人了 | non-hate | non-hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | others | hate [END]
白人班级 | 一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术 | Sexism | non-hate [END]
NULL | 疯狗 | others | hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 为什么不让流浪猫住进她家呢 | Sexism | hate [END]
女性地位 | 提高 | non-hate | non-hate [END]
女拳 | 经费没覆盖 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 地方歧视言论 | non-hate | non-hate [END]
NULL | 你以为你们这种人跑得出去 | others | hate [END]
西南地区及东北地区 | 都是一群南蛮搞的鬼 | Region | hate [END]
房子 | 男方买的 | non-hate | non-hate [END]
黑蛆 | 争议是否是人 | Racism | hate [END]
NULL | 没有一个拳师冲 | others | non-hate [END]
NULL | 狐臭遗传没跑了 | others | non-hate [END]
西藏和青海 | 的网友 | non-hate | non-hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non-hate | non-hate [END]
NULL | 种花家的不幸 | others | hate [END]
笑正常人是猪 | 散播同性恋美西意识不良风气 | LGBTQ | hate [END]
NULL | 轮着黑 | others | non-hate [END]
NULL | 男男违法献血 | others | hate [END]
NULL | 与猩猩终成眷属 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
湖北 | 是一主两副 | non-hate | non-hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海 | 上海暴雨 | non-hate | non-hate [END]
NULL | 摘完棉花吃西瓜 | non-hate | non-hate [END]
NULL | 古话说的好：非我族类，其心必异 | others | hate [END]
民族自信 | 不够 | non-hate | non-hate [END]
NULL | 中国人不够多吗？ | others | non-hate [END]
瘾大的女人 | 找猩猩其实就是为了找刺激 | Racism, Sexism | hate [END]
NULL | 玩游戏玩的不好 | non-hate | non-hate [END]
安徽雨也很大 | 不像郑州这么严重 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 猴痘传播方式 | non-hate | non-hate [END]
NULL | 你这是什么审美 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 南满不是人 | others | hate [END]
宁波工程外教 | 老好人了是吧？ | non-hate | non-hate [END]
NULL | 去东南亚快乐一下 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 在随机带走几个lkd | others | hate [END]
反对同性恋的人 | 很少有支持吃狗肉的 | LGBTQ, others | hate [END]
NULL | 在中国的土地上这个黑人会不会是非洲国家乌干达的？ | others | non-hate [END]
黑人 | 限制活动范围 | Racism | hate [END]
NULL | 反自己民族主义 | others | non-hate [END]
黑人 | 作死害百姓 | Racism | hate [END]
NULL | 谁要跟她们摆烂 | others | hate [END]
NULL | 闻见狐臭会生理反应 | non-hate | non-hate [END]
自由 | 自由 | non-hate | non-hate [END]
你 | 感觉对黑人的一切都有一种心理膈应 | Racism | hate [END]
你这思想 | 留在三从四德时期吧 | non-hate | non-hate [END]
NULL | 女的哪个不是这样啊 | others | non-hate [END]
他 | 对妻子不负责任 | non-hate | non-hate [END]
和印度人结婚的女的 | 华人圈子里也没有她了 | Racism, Sexism | hate [END]
NULL | 去喜欢中国的地方留学 | others | non-hate [END]
NULL | 别留在中国祸害人 | others | hate [END]
女生 | 不适合学理工科 | Sexism | hate [END]
NULL | 都魔怔了 | others | hate [END]
NULL | 谦虚点，我们蝈腩😆 | others | non-hate [END]
非洲人 | 穷是他们自己懒惰 | Racism | hate [END]
NULL | 炒作而已 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 南方人骂东北人 | Region | hate [END]
河南 | 可能会有偷盗行为 | non-hate | non-hate [END]
NULL | 下一位 | others | hate [END]
陕北 | 煤老板暴发户太多 | non-hate | non-hate [END]
山驴b | 这么喜欢拉黑本大爹 | non-hate | non-hate [END]
同胞 | 自甘堕落 | non-hate | non-hate [END]
NULL | 清楚计划 | others | hate [END]
网络地域黑眼 | 穷是原罪 | Region | hate [END]
国家 | 绝不会允许这种东西大行其道 | LGBTQ | hate [END]
黄种人 | 不care | non-hate | non-hate [END]
NULL | 土人 | Racism | hate [END]
NULL | 哈哈，几个视频都看过 | others | non-hate [END]
NULL | 名头是老外安上去 | others | non-hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | hate [END]
这个吧说真的不否认男的会有玩玩黑人里的美女的想法，但是应该没有几个会娶黑人女的😅 | NULL | Sexism | non-hate [END]
知乎同性恋标签第一的帖子 | 如何掰弯别人 | LGBTQ | hate [END]
NULL | 给河南不好的印象 | others | non-hate [END]
ezg | 喜欢，我们也没办法 | Sexism | hate [END]
这些闹剧 | 西方为了用身份政治来控制人民 | others | hate [END]
嫁给外国人 | 就不是中华民族了 | Region | hate [END]
NULL | 喜欢拳啊 | others | non-hate [END]
黑人 | 得到中国女生 | Racism | hate [END]
NULL | 贵物 | others | non-hate [END]
天下英雄城 | 文明南昌市 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
这人 | 心里极其残忍 | non-hate | non-hate [END]
同志 | 只有同性才是真爱 | LGBTQ | hate [END]
你 | 善良 | non-hate | non-hate [END]
深柜 | 在反同身边 | LGBTQ | hate [END]
年度格斗场 | 属于是 | non-hate | non-hate [END]
异性恋 | 不要自欺欺人 | LGBTQ | hate [END]
上海人 | 用上海话聊天 | non-hate | non-hate [END]
NULL | 别放弃 | others | non-hate [END]
安徽 | 存在感低 | others | non-hate [END]
3126
物种问题 | 没得谈 | non-hate | non-hate [END]
NULL | 又发黑人丑照 | Racism | hate [END]
基佬 | 艾滋病 | LGBTQ | hate [END]
NULL | 女拳 | Sexism | non-hate [END]
NULL | 中资企业还雇佣她吧 | others | non-hate [END]
回族 | 问题 | non-hate | non-hate [END]
NULL | 不婚前性行为，婚后不嫖娼 | non-hate | non-hate [END]
米国的事 | 别管了 | non-hate | non-hate [END]
NULL | 虛空法師是豬精 | others | hate [END]
NULL | 处女膜流血 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 撑同 | LGBTQ | hate [END]
一个安徽IP | 听口音这么像河南人 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 性别比例失调 | others | non-hate [END]
娶黑人的 | 也会被骂 | Racism | hate [END]
NULL | 美妆，穿搭，腹肌小哥哥，妆改容貌焦虑 | non-hate | non-hate [END]
【NULL】 | 河南人快被黑成贬义词了 | others | hate [END]
NULL | 不婚不育挺好淘汰极端nc女人 | others | hate [END]
地域黑 | 新闻标题扣到河南头上 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 想做 | others | non-hate [END]
NULL | 管不住自己 | others | non-hate [END]
评论区 | 谁破防了 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 黑人用女方结婚照作黄网头像 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 带着任务赚流量 | others | non-hate [END]
同性恋的支持者 | 我讨厌 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 干净不了 | others | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 常规操作了 | others | hate [END]
我 | 不懂什么是踩评论 | non-hate | non-hate [END]
她们自低自贱我懒得管 | 存在会让我国混血变多，艾滋病变多 | non-hate | non-hate [END]
NULL | 还不错 | others | non-hate [END]
NULL | 看视频再来给我扣帽子 | others | non-hate [END]
这些女的 | 大部分最后浪完回头找国内的 | Sexism | hate [END]
琪贵人 | 想掐死她吗 | non-hate | non-hate [END]
台湾岛 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [END]
黑吹子 | 有啥可说的 | others | non-hate [END]
NULL | 怪那些老外 | others | hate [END]
西周 | 早就发明文字了 | non-hate | non-hate [END]
爱猩动保人士 | 爱猩动保 | others | non-hate [END]
NULL | 两边差距不大 | others | non-hate [END]
NULL | 要了马上就降两档次 | others | non-hate [END]
我一东北人 | 根本听不懂 | non-hate | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息 | Racism | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 整个重庆都是反同吧吧主小号 | others | hate [END]
NULL | 几千万个 | LGBTQ | hate [END]
基佬 | 恶心 | LGBTQ | hate [END]
NULL | 去死 | LGBTQ | hate [END]
野生果子狸 | 现在微博看不到 | non-hate | non-hate [END]
国家对嫖娼的态度 | 代表的是广大国男的性获取难度 | Sexism | hate [END]
内地 | 被黑得很惨 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 彩礼违法 | others | non-hate [END]
NULL | 高人哪，喵神果然是高！ | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
NULL | 出现在人类面前的哥布林才是好哥布林 | others | hate [END]
NULL | 我能分清自卑和谦卑 | non-hate | non-hate [END]
杨圣母 | 出来恶心全体男性 | non-hate | non-hate [END]
NULL | 仙女的气质 | non-hate | non-hate [END]
NULL | 你们男的都去找机器人 | Sexism | hate [END]
来路不明的女的 | 一定要搞清楚来历啊 | Sexism | hate [END]
NULL | 你去读黑人人种研究的书 | others | non-hate [END]
NULL | 在easy girl眼里，这也比国男好得多 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
电子厂 | 不招河南人 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 反同小将 | others | hate [END]
NULL | 人均985 | others | non-hate [END]
东北人 | 真的很讨厌阿 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
贴吧系统 | 多发几次就行了 | non-hate | non-hate [END]
NULL | 凡事讲究一个公平 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
魔方基因 | 一听就不靠谱 | non-hate | non-hate [END]
NULL | 结了婚的通讯录 | others | non-hate [END]
这个 | 是友军 | non-hate | non-hate [END]
NULL | 无意义 | others | non-hate [END]
NULL | 你的意见有个屁用 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 个臭gay | LGBTQ | hate [END]
重男轻女 | 计划生育导致女生出来不了 | Sexism | non-hate [END]
你 | 还蹬鼻子上脸了 | non-hate | non-hate [END]
国内211随便挑几个会比这种人差？ | NULL | non-hate | non-hate [END]
一个穿衣服的猩猩 | 完全是在掩盖其兽性 | Racism | hate [END]
NULL | 烂鲍鱼一般被人叫做普信女 | Sexism | hate [END]
欧洲小国 | 对中国人印象不错 | non-hate | non-hate [END]
孩子安全 | 基佬炼铜是人尽皆知的 | others | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
他 | 会有报应的，现在就身染艾资 | others | hate [END]
NULL | 出国 | non-hate | non-hate [END]
楼上感觉他们两广被黑了 | 感觉很委屈 | non-hate | non-hate [END]
NULL | 普信男普信女 | Sexism | hate [END]
NULL | NULL | non-hate | non-hate [END]
主页整天搁那和不同的白楠yy，就算你真的那么有钱也不妨碍你lkd | 白楠 | others | non-hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | hate [END]
这男的 | 据说好像还原谅了她 | non-hate | non-hate [END]
NULL | 微博是个好地方 | others | non-hate [END]
NULL | 笑死了我发了一篇贵物男拳帖被删了 | others | non-hate [END]
NULL | 舔狗约炮都必须体验分娩 | others | non-hate [END]
这只狗狗 | YD长在了猩猩身上 | Racism, Sexism | hate [END]
NULL | 拳师日常化的高级妆 | others | non-hate [END]
浙江 | 气候不适 | Region | non-hate [END]
NULL | 欢迎来河南玩 | Region | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
这种 | 从小能看出他很有暴力倾向智商低喜欢攻击攻击人 | others | hate [END]
NULL | 说txl没码 | LGBTQ | hate [END]
NULL | 口味有点重 | others | non-hate [END]
你 | 是天津的啊？ | non-hate | non-hate [END]
我 | 咋没看到反串差评 | non-hate | non-hate [END]
5950
第二个母吠 | 删我评 | Sexism | hate [END]
NULL | 同性恋又幻想对方是0 | LGBTQ | hate [END]
好看的靴子都是为女人设计的！ | 男靴复兴但仍不及女靴 | non-hate | non-hate [END]
NULL | 美国做乞丐 | non-hate | non-hate [END]
东北人 | 更受南方妹子欢迎 | non-hate | non-hate [END]
男同 | 恶心 | LGBTQ | hate [END]
这玩意 | 谁把这玩意从笼子里面放出来的 | non-hate | non-hate [END]
江西 | 互相完全不了解 | non-hate | non-hate [END]
好人 | 被枪指着 | non-hate | non-hate [END]
NULL | 会跟黑人女性交往吗？ | others | non-hate [END]
800的小姐 | 能提非常高的情绪价值 | Sexism | hate [END]
NULL | 什么硅南 | others | hate [END]
66666 | 不想歧视 | non-hate | non-hate [END]
NULL | 涤清圣土桖洗嘿枸 | others | non-hate [END]
广东福建人 | 没有地域黑 | Region | non-hate [END]
广东人 | 广西人长相 | non-hate | non-hate [END]
打拳的 | 一定要反击 | Sexism | hate [END]
安徽 | 也被黑很惨啊 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 去吧 | non-hate | non-hate [END]
NULL | 统计数据 | others | non-hate [END]
日本女人 | 才媚白 | Sexism | hate [END]
黑人事 | 太多了 | Racism | hate [END]
NULL | 我们同性恋真是太正确了 | LGBTQ | non-hate [END]
找谁不行 | 找个黑家伙 | Racism | hate [END]
国内国外 | 都有反对的吧 | non-hate | non-hate [END]
非洲国家 | 从部落酋邦被殖民者强行拉进工业社会 | non-hate | non-hate [END]
外籍男子 | 公开袭警 | non-hate | non-hate [END]
NULL | 你这波种族歧视 | Racism | hate [END]
NULL | 一个个都能自己做大科学家，能自己给txl群体下定义 | LGBTQ | non-hate [END]
资本家 | 只有资本家才能入犹太教当犹太人 | others | hate [END]
NULL | 腐癌 | LGBTQ | hate [END]
我 | 长得还可以 | non-hate | non-hate [END]
少点宏大叙事，国男还是想想怎么让自己不接盘更实际 | NULL | Sexism | non-hate [END]
NULL | 你在现实见到黑人也这么说？ | others | non-hate [END]
男孩子 | 惨唉 | non-hate | non-hate [END]
学生 | 难道要在学生性知识启蒙教育的时候让他们搞同性恋？ | LGBTQ | hate [END]
三角洲三省市 | 喜欢搞地域黑的三大区域 | Region | hate [END]
安徽人 | 被黑 | non-hate | non-hate [END]
男同do爱 | 有些直男只是单纯恶心 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
我 | 从来不看女人的朋友圈 | non-hate | non-hate [END]
同性恋 | 不需要为了别人收敛自己的本性 | LGBTQ | non-hate [END]
你 | 是跨物种恋爱 | Racism | hate [END]
跪舔嘿 | 看到后很不开心 | Racism, Sexism | hate [END]
你 | 可以和男人doi的 | LGBTQ | non-hate [END]
基佬 | 恶心 | LGBTQ | hate [END]
NULL | 说河南话就是河南人？你知道中原官话范围有多大？ | others | non-hate [END]
这种幕刃 | 要来给我添堵吗？ | Sexism | hate [END]
NULL | 谢谢夸奖！！ | others | non-hate [END]
NULL | 一切不都OK了 | non-hate | non-hate [END]
东北人 | 感觉一段时间这个地域歧视都少不了 | Region | non-hate [END]
NULL | 通过侮辱诅咒同性恋 | LGBTQ | hate [END]
国内消费主义 | 给女的洗脑 | non-hate | non-hate [END]
外国人 | 为外国黑人生后代 | non-hate | non-hate [END]
河南 | 穷 | non-hate | non-hate [END]
卡肺囊虫肺炎和隐脑 | 大几率会死人的 | others | hate [END]
他 | 选择了转移话题 | non-hate | non-hate [END]
女拳 | 集体冲霹雳霹雳（B站） | Sexism | hate [END]
底层男人 | 要求另一半是处女 | Sexism | non-hate [END]
那三个默 | 应该会被判刑法十到二十年左右 | Racism | hate [END]
wb | 纯杀软 | non-hate | non-hate [END]
江苏 | 脾气就这样，小市民思想比较重 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 无罪 | non-hate | non-hate [END]
嗨嗨嗨😆黑北京的 | 哪有黑上海的多😎 | Region | non-hate [END]
东北人 | 老传统艺能 | non-hate | non-hate [END]
NULL | 外国人 | others | non-hate [END]
作为河南人 | 己所不欲，勿施于人 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
西安人 | 死绝 | Region | hate [END]
辽宁 | 真没资格鄙视中部 | non-hate | non-hate [END]
NULL | 自己弄撒别人收拾烂摊子 | others | hate [END]
你 | 把同性恋用大便来形容 | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 中国男人不配我们中国女人 | Sexism | hate [END]
NULL | 环境都被慕刃搞臭了 | others | hate [END]
NULL | 占他们便宜 | non-hate | non-hate [END]
这个例子 | 生动有趣 简洁明了 | non-hate | non-hate [END]
网上的话也信，那就是你的问题了 | 中国男女对立只存在网络上 | non-hate | non-hate [END]
bbc + china | 有攒劲的节目 | others | non-hate [END]
广东人 | 不觉得广东人长得好看 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
她们 | 真的是明明那么普通却那么自信 | Sexism | hate [END]
NULL | 河北最没有存在感 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
3187
贵州 | 不是我们穷就是说素质差 | Region | hate [END]
恐同皆深柜 | 实锤 | LGBTQ | hate [END]
基佬 | 心里变态的货 | LGBTQ | hate [END]
炸鸡 | 好吃的 | non-hate | non-hate [END]
女人 | 呵呵 | Sexism | hate [END]
排斥同性的表白 | 排斥自己不喜欢的异性表白 | non-hate | non-hate [END]
NULL | 一个人的选择很重要，一个女人的选择更重要 | others | non-hate [END]
郭女 | 卸妆也是大姐二姐 | Sexism | hate [END]
我们 | 不识字，没胆量，才被人当了殖民地 | non-hate | non-hate [END]
TXL | 不管管 | others | non-hate [END]
我 | 直接承认我不是男人 | non-hate | non-hate [END]
NULL | 管不了他们 | others | hate [END]
上班狗 | 呜丫丫一片 | non-hate | non-hate [END]
鬼母 | 还在苟延残喘 | Sexism | hate [END]
NULL | 被默玩腻了就会找老实人接盘 | others | non-hate [END]
处女崇拜 | 是很大的群体了 | Sexism | non-hate [END]
寄生虫 | 男人也配谈女权和男女平等 | others | non-hate [END]
腐癌 | 不支持同性恋 | LGBTQ | hate [END]
NULL | 打女拳 | Sexism | hate [END]
NULL | 嘻嘻 | others | non-hate [END]
井底之蛙 | 罢了 | non-hate | non-hate [END]
我们中国 | 真是太强啦 | non-hate | non-hate [END]
NULL | 君子和而不同，小人同而不和 | others | non-hate [END]
每个地方 | 都会有坏人的 | non-hate | non-hate [END]
NULL | 男的会喜欢你 | Sexism | hate [END]
我 | 是黑人有很多漂亮的985/211中国女友 | non-hate | non-hate [END]
NULL | 看某基佬也不会蒙面穿衣服发照了 | LGBTQ | hate [END]
同性恋 | 就是爱快乐地互相伤害互相传播疾病的怪物 | LGBTQ, others | hate [END]
正常人 | 不比打拳有意思 | non-hate | non-hate [END]
侮辱彩虹这个东西了基佬应该用hiv当旗子 | HIV | LGBTQ | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
上海 | 排外 | non-hate | non-hate [END]
txl | NULL | LGBTQ | hate [END]
它母上 | 应该多融合 | others | hate [END]
NULL | 优秀人才 | others | non-hate [END]
NULL | 顺从她就好了 | others | non-hate [END]
NULL | 但答主喷人也不违法 | non-hate | non-hate [END]
上海人 | 永远只和上海人玩 | Region | hate [END]
跟黑人在一起过的 | 宁愿娶二婚也绝对不要 | Racism, Sexism | hate [END]
NULL | 南方经济制裁 | non-hate | non-hate [END]
舔狗 | 赶紧去死吧 | Sexism | hate [END]
江北 | 只准你们讲别人，别人说你们就成地域黑 | Region | hate [END]
NULL | 山姆 | others | hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 很带劲 | others | non-hate [END]
基佬罪证合集 | 罪证 | LGBTQ | hate [END]
同性恋 | 就意味着断子绝孙了 | LGBTQ | hate [END]
我 | 能不能让我透 | non-hate | non-hate [END]
NULL | 娘炮 | others | non-hate [END]
恶心 | 乱磕cp | non-hate | non-hate [END]
好女孩 | 值得珍惜 | non-hate | non-hate [END]
美国黑人马丁路德金 | 是个非常有文化的人 | non-hate | non-hate [END]
非洲黑人 | 不喜欢 | Racism | hate [END]
河南跟安徽 | 都是穷省 | Region | hate [END]
NULL | NULL | non-hate | non-hate [END]
伞兵 | 我是友军 | non-hate | non-hate [END]
NULL | 腐女 | others | non-hate [END]
东北人 | 被误解为坏人 | non-hate | non-hate [END]
甘肃人 | 没有存在感 | Region | non-hate [END]
齐齐哈尔人 | 也考来了抚顺 | non-hate | non-hate [END]
NULL | 垃圾 | non-hate | non-hate [END]
黑人 | 人均寿命第一 | Racism | non-hate [END]
NULL | 快手号多少 | others | non-hate [END]
仙女 | 放大屁 | non-hate | non-hate [END]
一眼真，也就母畜能干得出来这种事 | 母畜 | Sexism | hate [END]
类人猿 | 生殖速度太快 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
NULL | 放出来吧 | Region | hate [END]
华夏民族 | 按照进化论来说，智商相差1000代人 | non-hate | non-hate [END]
河南和东北 | 被黑的很大原因是口音 | Region | non-hate [END]
铌铬 | 想想什么人会77%没有父亲吧 | Racism | hate [END]
NULL | 国际母狗 | Sexism | hate [END]
NULL | 多去劝劝，男性的话就劝他外娶 | others | hate [END]
以色列 | 生育率居然这么高 | non-hate | non-hate [END]
NULL | 会独立思考 | non-hate | non-hate [END]
NULL | 给部落带来厄运 | non-hate | non-hate [END]
NULL | 搞毛发型 | others | non-hate [END]
韩国 | 比较正常 | non-hate | non-hate [END]
NULL | 结婚太多 | others | non-hate [END]
NULL | 不公平 | others | hate [END]
中国男性 | 它们只会骂 | Sexism | hate [SEP] 🐑跌 | 跪舔还来不及呢 | others | hate [END]
流浪狗 | 认为流浪狗可怜 | non-hate | non-hate [END]
NULL | 做基佬 | LGBTQ | hate [END]
NULL | 妈不给男宝性 | non-hate | non-hate [END]
百度 | 正义的 | non-hate | non-hate [END]
河南 | 担吗😆 | Region | non-hate [END]
NULL | 任何话都有一定道理的🤣🤣🤣 | non-hate | non-hate [END]
NULL | 屌他啊 | others | hate [END]
一个女的...她以前老公是黑人，有一孩子 | 我整个看见她照片恶心加反胃！ | Racism | hate [END]
动物 | 袭击直接击毙就好了 | non-hate | non-hate [END]
这种货色 | 不拉到没人的地方一顿输出 | non-hate | non-hate [END]
上海歧视北京 | 23333 | others | hate [END]
NULL | 人们一般关注的是坏蛋里某地人的比例，而不是某地人里坏蛋的比例 | others | non-hate [END]
黑蛆 | 无孔不入 | Racism | hate [END]
孩子 | 白白的精致 | non-hate | non-hate [END]
新疆人 | 50切点尝尝变五百 | non-hate | non-hate [END]
不管是异性还是同性，乱搞感染的 | 都是活该 | others | hate [END]
5毛 | 灭了黑鬼 | Racism | hate [END]
NULL | 无风不起浪 | others | hate [END]
山东 | gdp第三 | non-hate | non-hate [END]
NULL | 给女权钻空子 | non-hate | non-hate [END]
NULL | NULL | non-hate | non-hate [END]
