飞周兄弟 | 还不认亲？ | Racism | hate [END]
女的 | 接受度更高 | Sexism | non-hate [END]
知乎 | 的三观很正 | non-hate | non-hate [END]
我 | 是高贵的中国人 | non-hate | non-hate [END]
我们辽宁人 | 不应该替某省背黑锅 | Region | non-hate [END]
她 | 没说错…… | non-hate | non-hate [END]
你 | 人如其名 流量老贼🤭 | non-hate | non-hate [END]
喷吧 | 也是女权它们也只会喷了 | Sexism | hate [END]
那群龟男 | 装成女人来骗...来舔啊 | Sexism | hate [END]
被拐卖的 | 确实很感动🤣 | non-hate | non-hate [END]
血统论 | 的目的主要是为了给种族歧视创造合法性 | Racism | non-hate [END]
这样的假设 | 现实中并不存在或极端罕见 | non-hate | non-hate [END]
默 | 非我中华民族必为异类 | others | hate [END]
东北人 | 骂人最狠的就是 | Region | non-hate [END]
曲阜和孔子 | 这不是好事吗🤣 | Region | non-hate [END]
黑人 | 给ysl丢脸 | others | hate [END]
非洲黑人 | 智商70，被学者归类为智障水平 | Racism | hate [SEP] 美国黑人混血儿 | 智商85 | Racism | hate [SEP] 中非混血儿 | 智商应该徘徊在90左右，妥妥的班里倒数 | Racism | hate [END]
这里 | 在...性别是女就是错误 | Sexism | hate [END]
直男 | 我觉得...更胜一筹 | non-hate | non-hate [END]
同性恋 | 不正常可以变成正常的异性恋 | LGBTQ | hate [END]
女方 | 咋不出钱办的好点捏? | Sexism | non-hate [END]
女拳 | 也不是仇女壮大出来的，而是平权放任出来的 | Sexism | non-hate [END]
我 | 这么纯洁可爱。。。。。 | non-hate | non-hate [END]
这b | 的确不是好人 | non-hate | non-hate [END]
黑河南、黑北方的 | 都是南满 | Region | hate [END]
公的黑奴 | 都是要骟了的 | Racism | hate [END]
你 | 女拳不都喜欢冒充男的说话吗😆 | Sexism | hate [END]
我们男性 | 我给...丢人了呜呜呜 | non-hate | non-hate [END]
女拳 | 都是自私的逐利者 | Sexism | hate [END]
慕洋舔狗 | 站起来 | non-hate | non-hate [END]
NULL | 今时不同往日 | non-hate | non-hate [END]
国内女⭕️ | 群嘲国男的时候你咋不这么说？ | Sexism | non-hate [END]
NULL | 有人管挺好的，没人管就变成透明人了 | non-hate | non-hate [END]
茶壶嘴 | 破防了 | non-hate | non-hate [END]
你 | 举报要有用才怪了 | non-hate | non-hate [END]
小仙女 | 一句“带孩子的女的不叫女孩，就叫女的”给不知道多少...整破防了呢 | Sexism | non-hate [END]
贵州 | 也没话讲 | Region | non-hate [END]
所谓的留学生 | 花大价钱留... 却不舍得给国内的更好点待遇. | non-hate | non-hate [END]
其他大多数省 | 都是给我国拖后腿的 | Region | hate [END]
互喷 | 不就是最好的抵制方法吗😆 | non-hate | non-hate [END]
孩（串）子（串） | 不能带走...😆，这难道不是好事嘛 | Racism | non-hate [END]
桑嗨仁 | 现在不是...歧视外地人的时候了🤣 | Region | non-hate [END]
t们 | 让...团结鼓励让...风况捏参考棒子锅 | non-hate | non-hate [END]
他们 | 你从哪看出来...是东北人的啊？ | Region | non-hate [END]
我 | 也经常被喷，习惯就好 | non-hate | non-hate [END]
这个女的 | 是和中国老公离婚了，带着孩子找了个印度同事 | non-hate | non-hate [END]
女孩子 | 不能急 😅 | non-hate | non-hate [END]
NULL | 血和屈辱你只能二选一。 | non-hate | non-hate [END]
那些女人 | 真是勇敢，生怕得不上病😆 | others | non-hate [END]
默 | 我真的很讨厌 | others | hate [END]
你 | 应该有很多人也就放心了😆 | non-hate | non-hate [END]
你 | 怎么知道答主是中国人，万一答主是美国人？😆😆 | non-hate | non-hate [END]
吴母沟 | 跑国外去了不就很好嘛，要是去非洲服务默那更是物尽其用，怕就怕...出去整个容改个名，然后再回来祸害国男 | Sexism | hate [END]
拳师 | 天生就是坏种它们贪婪傲慢懒惰暴食淫欲嫉妒暴怒七宗罪它们全部都犯了它们欲壑难填利令智昏是畜生不如的东西 | Sexism | hate [END]
武汉 | 哪里小偷比...少 | Region | non-hate [END]
新时代独立女性 | 为什么不告诉现男友?怕国人不要你? | Sexism | non-hate [END]
男人 | 打压...让...沦为舔狗更好为她们服务 | Sexism | non-hate [END]
山东 | 一旦被黑就是两性问题😅 | non-hate | non-hate [END]
留在河南的古汉人 | 才是最多的 | Region | non-hate [END]
他 | 我怀疑...也去超市偷东西 | non-hate | non-hate [END]
舞蹈区和各大直播平台那些女人 | 不整治她们评论区就干净不了 | non-hate | non-hate [END]
集美们 | 拿刀真的有用😅 | Sexism | non-hate [END]
同性恋 | 是病才要上药 | LGBTQ | hate [END]
黑沙口 | 应该禁止...进店或者在居民区附近，把他赶到森林里。 | Racism | hate [END]
她 | 的确看起来很年轻 | non-hate | non-hate [END]
广西人 | 有东南亚爪哇矮黑人特征 | Region | hate [END]
中国女性 | 就是亚洲女性 | non-hate | non-hate [SEP] 东亚女权 | 本就是一丘之貉 | Sexism | non-hate [END]
聪明人的比例 | 太少了 | non-hate | non-hate [END]
txl | 这样的也会被说成...捏 | LGBTQ | non-hate [END]
长得丑 | 就活该被变态骚扰 | Sexism | hate [END]
她们 | 在被利用前利用...，不要贪恋美色，多了不好 | non-hate | non-hate [END]
那些跟小黑交往的女生 | 你怎么证明...是我们985的？ | non-hate | non-hate [END]
抠脚大汉 | 别装了，赶紧游戏上线了 | non-hate | non-hate [END]
含有种族歧视的崇洋媚外的 | 却是让人唾弃 | non-hate | non-hate [END]
安徽的 | 不是挖煤的就是要饭的，剩下的都是黑社会，是吗？ | Region | hate [END]
你 | 两头开枪是吧？ | non-hate | non-hate [END]
苏北人 | 歧视起其他省份一样厉害的 | Region | non-hate [END]
easy girl | 要是...骗我接盘，让我发现不会放过这个婊子 | Sexism | hate [END]
男人的命 | 也是命！ | Sexism | non-hate [END]
我 | 可能自己太low吧，水平高的人接触不到😅 | non-hate | non-hate [END]
她 | 可以让她生了，分月付款，生完滚蛋 | Sexism | non-hate [END]
东北红脖子 | 认为东北最好，目空一切 | Region | non-hate [SEP] 东北奸 | 认为东北最差，南方是爹 | Region | non-hate [END]
你 | 前列腺还好吗？ | non-hate | non-hate [END]
黑人 | 解放...有什么用？ | Racism | hate [END]
女拳 | 怎么搞的跟什么一样 | Sexism | non-hate [END]
网上打拳的 | 都是男的有钱挣 | Sexism | non-hate [END]
广东人和广西人 | 总体来说的确是丑人多 | Region | hate [END]
这 | 就是阳谋 | non-hate | non-hate [END]
东方卫视 | 成了女拳卫士？ | Sexism | non-hate [END]
丰县 | 丢尽了江苏的脸 | Region | non-hate [END]
大部分女生 | 根本看不上黑人啊 | Racism | non-hate [END]
她们这样的思想 | 是现在这个时代的思想 | non-hate | non-hate [END]
安徽人 | 大多数在网上太老实了，甚至弱势 | Region | non-hate [END]
欧美主体民族 | 基本没多少了，现在都是混血民族了，这都是拜女拳的服 | Sexism | hate [END]
皮套人 | 还真的有粉丝？ | non-hate | non-hate [END]
NULL | 图个器大活好吧 | Racism | non-hate [END]
昆仑奴 | 翻身逆袭咯？ | Racism | non-hate [END]
你们这些从心理到生理都变态点玩意儿 | 有资格说患者 | LGBTQ | hate [END]
男人 | 的武力已经被削得越来越弱了 | non-hate | non-hate [END]
安徽 | 主要是在上海被歧视 | Region | non-hate [END]
有人 | 非的要遵守什么祖宗留下来的传宗接代 | non-hate | non-hate [END]
你们北方 | 个个都是人上人 | Region | non-hate [SEP] 那么多北方人上人 | 跑来野蛮之地给野蛮人打工也太让人疑惑了🤔 | Region | non-hate [END]
我们 | 的生活水平也不会因此降低 | non-hate | non-hate [END]
你 | 能不能销号啊 | Sexism | non-hate [END]
嫁黑人就去非洲 | 别在娘家待着碍眼 | Racism | hate [END]
被嘿嘿玩过的 | 那得多么的。。。 | Racism | non-hate [END]
我们的学校 | 现在变成了妓院 | non-hate | non-hate [END]
亩人 | 需要被尊重？ | Sexism | hate [END]
有人 | 爱吃煤 | non-hate | non-hate [END]
黑人 | 反观... | Racism | non-hate [END]
同性恋 | 别举报 | LGBTQ | non-hate [END]
小仙女 | 一起爆杀...啊 | Sexism | hate [END]
复联 | 管儿童性侵和妇女被家暴吗 | non-hate | non-hate [END]
知乎很多东北人 | 喜欢代表北方，挑起南北对立 | Region | non-hate [END]
男的 | 要换...，下面就不会这么祥和了 | Sexism | non-hate [END]
哈尔滨男人 | 好惨 | Region | non-hate [END]
中国原住民 | 被大猩猩不当命的现象 | Racism | hate [END]
美国 | 太乱了，警察都不管 | non-hate | non-hate [END]
你老公 | 要是知道了，可能会离婚 | non-hate | non-hate [END]
吴签 | 没有宁波黑人高端 | Racism | hate [END]
东夷 | 也算是铸造华夏族的重要一部分 | non-hate | non-hate [END]
你 | 走路漏屎吗 | non-hate | non-hate [END]
男的 | 也知道不是全部女生都会找黑人 | non-hate | non-hate [END]
你这个** | 还想当吧主 | non-hate | non-hate [END]
你去非洲 | 跟黑人去说理性去 | Racism | hate [END]
江苏 | 地域黑十斗，...人独占八斗 | Region | non-hate [END]
小红书上面的女的 | 基本一个比一个丑 | non-hate | non-hate [END]
你他们 | 别着急，下一个就是 | non-hate | non-hate [END]
呼呼 | 感觉是恨国党的天下了 | non-hate | non-hate [END]
女权 | 的本质就是打压男性 | Sexism | hate [END]
老婆生了个黑人小孩 | 这种才是被批判的 | Racism | hate [END]
我 | 发布的文章也说...带有歧视 让我修改 | non-hate | non-hate [END]
骗子最多的城市 | 应该是温州 | Region | non-hate [END]
川渝 | 很歧视北方，也是带节奏带最狠的 | Region | non-hate [END]
大病 | 容易人传人，必须隔离 | others | non-hate [END]
蛤蚧 | 又替黑非洲来抢劫埃及文明啦 | Racism | hate [END]
黑贵人 | 用定时化学武器消灭...，不留一丝痕迹 | Racism | hate [END]
txl | 以...为荣是变态 | LGBTQ | hate [END]
一群gay | 不挑人 | LGBTQ | hate [END]
恶意传播传染病 | 是要坐牢的 | others | non-hate [END]
大家 | 可以精法、精苏、精美也可以精澳、精意，但千万不可以精尼 | Racism | hate [END]
小仙女 | 要买爆了 | Sexism | non-hate [END]
有绿帽癖的男人 | 能接受的都是...，喜欢看别人干自己老婆 | Sexism | hate [END]
抖音 | 刷个...都有傻B女⭕️ | Sexism | hate [END]
虫类及其后代虫混 | 是拉美人外全球第二大贩毒和运毒和磕药的大户 | Racism | hate [END]
大家 | 要团结起来对付这帮地域黑喷子 | non-hate | non-hate [END]
那些找泥搁的女人 | 的智商水平，社会责任感和价值观显然不配和正常的国人哺育正常的后代😄 | Sexism | hate [END]
我 | 不是男同，我也觉得恶性，那我是不是和你一样也是男同 | LGBTQ | non-hate [END]
黑人 | 专门勾搭中国妇女 | Racism | non-hate [END]
性倾向 | 无法改变 | non-hate | non-hate [END]
广东人 | 这些坏事都是...干的！ | Region | hate [END]
幕刃 | 真的该死 | Sexism | hate [END]
女人 | 是真的没脑子，无法交流 | Sexism | hate [END]
卡菲勒 | 是同性恋🤭 | LGBTQ | non-hate [END]
你 | 发这些什么目的 | non-hate | non-hate [END]
变态基佬 | 不管怎么都应该提防 | LGBTQ | hate [END]
江苏人 | 我见过无数的...默认自己是日本的 | Region | non-hate [END]
又同又飞舞的 | 该骂的是 | LGBTQ | hate [END]
河南新疆回族人 | 3头不是人 | Region, others | hate [END]
它们 | 智商很低 | Racism | hate [END]
饭桶吧主 | 就这战力？ | LGBTQ | hate [END]
有性别焦虑问题的通讯录 | 如何薄纱...？ | LGBTQ | hate [END]
我 | 完全同意你找 | non-hate | non-hate [END]
这老师 | 我想...会被打死 | non-hate | non-hate [END]
没有被全国黑过的地方 | 不是太穷，就是太怂 | non-hate | non-hate [END]
这个尼 | 恐怕从...从出生到现在都没洗过头吧！ | Racism | hate [SEP] 这女的 | 居然不嫌弃，看来是真爱了 | non-hate | non-hate [END]
大学生 | 感染艾滋病的几率是不断升高的 | others | non-hate [END]
白人班级 | 好久都没有见过那么干净的...了，一个黑乐色都没有 | Racism | hate [END]
女拳 | 自我安慰的话术罢了 | Sexism | non-hate [END]
你 | 听说...是疯狗？ | non-hate | non-hate [END]
你 | 绝对不是他说的那种要一棒子打死的人 | non-hate | non-hate [END]
小仙女 | 为什么不让流浪猫住进她家呢 | Sexism | non-hate [END]
女性地位 | 能提高的的确确是好的趋势 | Sexism | non-hate [END]
女拳师 | 是不是经费没覆盖？😆 | non-hate | non-hate [END]
王德彪（外地逼) | 北京叫 | Region | hate [SEP] 乡下人 | 上海叫 | Region | hate [END]
能在知乎上搞地域歧视的人 | 现实生活里大概率也成不了啥事 | non-hate | non-hate [END]
你们这种人 | 你以为...跑得出去？ | non-hate | non-hate [END]
西南地区及东北地区 | 黑河南和北方 最严重的是 | Region | hate [SEP] 南蛮 | 都是一群...搞的鬼 | Region | hate [END]
肉体伤害 | 可以定罪 | non-hate | non-hate [SEP] 精神伤害和冷暴力 | 无法定量和定罪 | non-hate | non-hate [END]
黑蛆 | 是不是“人”，至今还存在很大的争议 | Racism | hate [END]
一个拳师 | 居然没有...冲 | non-hate | non-hate [END]
他 | 估计在中国...的味道肯定会很受欢迎吧 | non-hate | non-hate [END]
西藏和青海的网友 | 上网那么久就没见过-_-|| | Region | non-hate [END]
度度 | 拿不出证据的话能不能给我道歉啊 | non-hate | non-hate [END]
这一类人 | 真是种花家的不幸 | non-hate | non-hate [END]
校方 | 不会轻判 | non-hate | non-hate [END]
我家 | 今天到...🤭🤭 | non-hate | non-hate [END]
你这老僵尸 | 要被举报了，男男违法献血 | LGBTQ | hate [END]
你 | 就差与猩猩终成眷属了！? | Racism | hate [END]
你 | 一定不会是反串 | non-hate | non-hate [END]
湖北 | 资源并不是都集中在武汉 | Region | non-hate [END]
巴黎人 | 到上海都是横行霸道的 | Region | hate [END]
上海人 | 淹死...❤️ | Region | hate [END]
阳光彩虹小黑马 | 摘完棉花吃西瓜 | Racism | non-hate [END]
白人、黑人 | 都是异族 | Racism | non-hate [END]
NULL | 还是民族自信不够 | non-hate | non-hate [END]
你 | 还嫌中国人不够多吗👍👍 | non-hate | non-hate [END]
瘾大的女人 | 找猩猩其实就是为了找刺激 | Racism | hate [END]
你 | 不就是自己玩游戏玩的不好，还骂别人吗？ | non-hate | non-hate [END]
安徽人 | 不坏 | Region | non-hate [END]
NULL | 欢迎大家一起讨论 | non-hate | non-hate [END]
猴痘 | 目前认为是体液传播 | non-hate | non-hate [END]
阁下 | 也是黑猩猩？ | Racism | hate [END]
这狗比贱货 | 咋不打死 | non-hate | non-hate [END]
南满 | 不是人，...是满子 | Region | hate [END]
宁波工程外教 | 老好人了是吧？ | non-hate | non-hate [END]
我 | 也去东南亚快乐一下 | non-hate | non-hate [END]
女性 | 的生产力以及其占有的生产关系远不及男性，反而追求更大的权利地位，而不想承担责任 | Sexism | hate [END]
lkd | 应该在随机带走几个 | non-hate | non-hate [END]
同性恋 | 我觉得...很恶心 | LGBTQ | hate [SEP] 狗肉 | 支持吃 | non-hate | non-hate [END]
这个黑人 | 会不会是非洲国家乌干达的？ | Racism | non-hate [END]
黑人 | 应该被限制活动范围 | Racism | hate [END]
NULL | 第一次看见反自己民族主义的 | non-hate | non-hate [END]
引进 | 黑人能有什么好事情？...作死害百姓 | Racism | hate [END]
我 | 呼吁外娶 | non-hate | non-hate [END]
NULL | 很多人闻见狐臭会生理反应 | non-hate | non-hate [END]
你 | 应当拥有自由 | non-hate | non-hate [END]
黑人 | 对...的一切都有一种心理膈应 | Racism | non-hate [END]
你这思想 | 留在三从四德时期吧 | non-hate | non-hate [END]
女的 | 现在...哪个不是这样啊 | Sexism | non-hate [END]
他 | 对妻子不负责任 | non-hate | non-hate [END]
一个和印度人结婚的女的 | 华人圈子里也没有她了 | non-hate | non-hate [END]
NULL | 反向操作去喜欢中国的地方留学不就行了 | non-hate | non-hate [END]
NULL | 必须去非洲，别留在中国祸害人 | non-hate | non-hate [END]
“女生不适合学理工科” | 不赞同...的女性比例为77.9%，男性为77.3% | Sexism | non-hate [END]
zzzq | 都魔怔了 | non-hate | non-hate [END]
我们 | 蝈腩😆 | Sexism | hate [END]
它们 | 穷是他们自己懒惰 | Racism | hate [END]
这个女人 | 没死 | non-hate | non-hate [END]
NULL | 玉米的黄油变成炳蔚通知书，落在头上是写着艾的，还砸出血了 | others | non-hate [END]
南方人 | 你应该看看...是怎么骂东北人的.. | Region | non-hate [END]
河南人 | 可能会有偷盗的行为，但每个省可能都有几个人渣，所以不要以为...都那个样😅 | Region | non-hate [END]
NULL | 开除女籍，下一位 | Sexism | hate [END]
陕北人 | 陕西关中人和陕南人黑...好像是因为...有钱来着 | Region | non-hate [END]
某些山驴b | 这么喜欢拉黑本大爹 | Region | hate [END]
自己的同胞 | 我伤心...走上了这样一条路 | non-hate | non-hate [END]
黑蛆 | 希望早日实施...清楚计划 | Racism | hate [END]
穷 | 是原罪? | others | non-hate [END]
国家 | 绝不会允许这种东西大行其道 | non-hate | non-hate [END]
这个东西 | 难道只有把...变成主流文化才能算尊重吗 | LGBTQ | non-hate [END]
黑人 | 是不是土人的一种？ | Racism | hate [END]
NULL | 哈哈，几个视频都看过 | non-hate | non-hate [END]
eg的名头 | 是老外安上去，关中国人什么事 | non-hate | non-hate [END]
这种女的 | 不就是典型的玩的浪不顾家？ | Sexism | non-hate [END]
男的 | 应该没有几个会娶黑人女的😅 | Racism | non-hate [END]
知乎同性恋标签第一的帖子 | 一群恶心人的在那里讲如何掰弯别人 | LGBTQ | hate [END]
河南 | 人多，不好事件就概率性多，给人...不好的印象😅😅 | Region | non-hate [END]
ezg | 毕竟房车彩礼不是那么好赚的 | Sexism | hate [END]
西方 | 为了用身份政治来控制人民 | non-hate | non-hate [END]
嫁给外国人 | 就不是中华民族了 | non-hate | non-hate [END]
她们 | 因为...喜欢拳啊 | non-hate | non-hate [END]
黑人 | 太容易得到中国女生了 | Racism | non-hate [END]
你 | 是个贵物 | non-hate | non-hate [END]
天下英雄城 文明南昌市 | 🐶 | Region | non-hate [END]
嫌犯达雷尔·布鲁克斯（DarrellBrooks） | 是一名被定罪的性犯罪者 | non-hate | non-hate [END]
这人 | 杀了人还嬉皮笑脸，...心里极其残忍 | non-hate | non-hate [END]
他们 | 张口闭口说只有同性才是真爱 | LGBTQ | non-hate [END]
你 | 的评论会伤害到别人 | non-hate | non-hate [END]
反同 | 深柜竟在...身边 | LGBTQ | non-hate [END]
NULL | 哈哈年度格斗场了属于是哈哈哈 | non-hate | non-hate [END]
某些txl | 还是不要自欺欺人了 | LGBTQ | hate [END]
两个上海人 | 在公司用上海话聊天、会被其他人举报说这两个人在偷偷骂他 | Region | non-hate [END]
艾滋病 | 好好治也能活很久的 | others | non-hate [END]
安徽 | 没啥存在感吧 | Region | non-hate [END]
这个题主 | 是个反串女 | non-hate | non-hate [END]
民族问题 | 可以谈 | non-hate | non-hate [SEP] 物种问题 | 没得谈 | Racism | hate [END]
黑人丑照 | 又发...，滚滚滚 | Racism | hate [END]
基佬 | 艾滋。 | LGBTQ | hate [END]
好点的女人 | 应该还有些 | non-hate | non-hate [END]
她 | 问题是中资企业还雇佣...吧 | non-hate | non-hate [END]
回族 | 不懂，...有什么问题？ | non-hate | non-hate [END]
男人 | 如果...脑子不太聪明分不清sao货和良女的话，那就自律一点，不要婚前性行为，也不要婚后嫖娼 | non-hate | non-hate [END]
米国的事 | 各位就别管了 | non-hate | non-hate [END]
內个虛空法師 | 是什麼豬精 | non-hate | non-hate [END]
NULL | 处女膜流血 | non-hate | non-hate [END]
你 | 为何...觉得南方比北方穷 | Region | non-hate [END]
NULL | 当然是撑同 | non-hate | non-hate [END]
一个安徽IP | 热评：听口音这么像河南人 | Region | non-hate [END]
基狫 | 把...打出血了你也有伤口了就会 | LGBTQ | hate [END]
NULL | 因为性别比例失调啊，有什么不能理解吗？ | non-hate | non-hate [END]
娶黑人的 | 也会被骂 | Racism | non-hate [END]
小红书 | 刷到的都是美妆，穿搭，腹肌小哥哥，还有一堆妆改容貌焦虑的 | non-hate | non-hate [END]
河南人 | 都快被黑成贬义词了 | Region | non-hate [END]
极端nc女人 | 不婚不育挺好淘汰 | Sexism | hate [END]
新闻标题 | 非要扣到河南头上😭 | Region | non-hate [END]
大家 | 不信中国女人了 | Sexism | non-hate [END]
小仙女 | 感谢lz的社会实验证明...就是想做 | Sexism | non-hate [END]
NULL | 情商太低，管不住自己、 | non-hate | non-hate [END]
评论区 | 谁破防了我不说🤔 | non-hate | non-hate [END]
幕刃 | 智商堪忧 | Sexism | hate [END]
成都黑帽门 | 确实大开眼界😅 | Sexism | non-hate [END]
你 | 让我看看...长啥样 | non-hate | non-hate [END]
你 | 建议...重开重开的记得智商调高一些 | non-hate | non-hate [END]
人家 | 带着任务赚流量的🤣 | non-hate | non-hate [END]
同性恋的支持者 | 其实我讨厌同性恋很大一部分的原因是因为 | LGBTQ | non-hate [END]
你 | 读书读糊涂了。。。。逻辑混乱 | non-hate | non-hate [END]
以前的工作 | 大都是体力活，干净不了 | non-hate | non-hate [END]
姐姐 | 你的圈子有点小啊 | non-hate | non-hate [END]
黑哥 | 常规操作了 | Racism | non-hate [END]
NULL | 不好意思 不懂什么是踩评论………我以为是赞的意思?? | non-hate | non-hate [END]
她们 | 的存在会让我国混血变多，艾滋病变多，这才是大问题 | Racism | hate [END]
河南人 | 反正我遇见的...都还不错 | Region | non-hate [END]
吧里有些老哥 | 看不到所谓主要矛盾啊 | non-hate | non-hate [END]
这些女的 | 大部分最后浪完回头找国内的 | Sexism | hate [END]
琪贵人 | 发誓的时候你想掐死她吗？ | non-hate | non-hate [END]
台湾岛 | 仅次于半导体的第二大无烟工业 | non-hate | non-hate [END]
黑吹子 | 好，我看...有啥可说的 | Racism | non-hate [END]
你 | 觉得怪那些老外吗 | non-hate | non-hate [END]
黑人 | 什么时候有过文字？ | Racism | non-hate [END]
NULL | 爱猩动保人士 | Racism | hate [END]
这边 | 是20年 | non-hate | non-hate [SEP] 对面 | 搞不好也就15年 | non-hate | non-hate [END]
这玩意 | 要了马上就降两档次 | non-hate | non-hate [END]
我同学 | 一东北人根本听不懂 | Region | non-hate [END]
嘿枸 | 浑身弥漫着低劣程度的气息，天生令人厌恶 | Racism | hate [END]
同性恋 | 我也觉得...很恶心，永远都不可能改变，太恶心了 | LGBTQ | hate [END]
它 | 抽...一耳光！ | non-hate | non-hate [END]
整个重庆 | 原来...都是反同吧吧主小号 | non-hate | non-hate [END]
同性恋 | 有本事就弄死他们啊。几千万个，慢慢来 | LGBTQ | hate [END]
基佬 | 真不是一般的恶心 | LGBTQ | hate [END]
txl | 去死 | LGBTQ | hate [END]
果子狸 | 前几年很嚣张举报都没用 | non-hate | non-hate [END]
国家 | 对嫖娼的态度代表的是广大国男的性获取难度 | Sexism | non-hate [END]
我们内地 | 就先被他们黑得很惨啊 | Region | non-hate [END]
大男权主义分子 | 你这就被我说破防了，急的拉黑我。是不是跟大女权主义分子样虚伪的 | Sexism | hate [END]
彩礼 | 违法 | non-hate | non-hate [END]
喵神 | 果然是高！ | non-hate | non-hate [END]
她们 | 热爱自由我支持 | non-hate | non-hate [END]
哥布林 | 不出现在人类面前的...才是好哥布林 | non-hate | non-hate [END]
我 | 雀氏自卑 | non-hate | non-hate [END]
它 | 杨圣母出来恶心全体男性的时候怎么看不到...站出来 | Sexism | non-hate [END]
你 | 中国还是纯黄种人为好 | Racism | hate [END]
你们男的 | 巴不得巴不得...都去找机器人，不要碰女的我看到你们就恶心！ | Sexism | hate [END]
来路不明的女的 | 一定要搞清楚来历啊 | others | non-hate [END]
你 | 去读黑人人种研究的书吧 | non-hate | non-hate [END]
国男 | easy girl眼里，这也比...好得多 | Sexism | hate [END]
你 | 先去问问...父母接不接受再来回答 | LGBTQ | non-hate [END]
畒 | 破防啦 | Sexism | hate [END]
某电子厂 | 不招河南人 | Region | hate [END]
那个男的 | 接这盘，一辈子抬不起头 | non-hate | non-hate [END]
反同小将 | 原来是昔日的...战淋 | LGBTQ | non-hate [END]
b乎 | 人均985 | non-hate | non-hate [END]
东北人 | 真的很讨厌阿 | Region | hate [END]
人形畜狌 | 只有本能除了寄声就是寝犯种群铁律亘古不变真理只在射程之内 | non-hate | non-hate [END]
我 | 实际考察了四川各大高校根本不是 | non-hate | non-hate [END]
贴吧系统 | 就是这样多发几次就行了毕竟这是百度特色嘛 | non-hate | non-hate [END]
中国女人 | 已经不是那样的中国女人了！ | Sexism | non-hate [END]
公主外嫁 | 和后面的五胡乱华有很大关系哟 | non-hate | non-hate [END]
魔方基因？ | 一听就不靠谱😆 | non-hate | non-hate [END]
结了婚的通讯录 | 在当今社会不出瑰的几乎为零 | LGBTQ | hate [END]
这个 | 是友军 | non-hate | non-hate [END]
宁 | 比得上人家吗 | non-hate | non-hate [END]
你的意见 | 有个屁用 | non-hate | non-hate [END]
这几个博主 | 到冯丽微博下留言加辱骂河南人的，到处蹭热度 | Region | non-hate [END]
这女的 | 有精神类疾病 | others | non-hate [END]
NULL | 原来是个臭gay | LGBTQ | hate [END]
重男轻女 | 是存在的，但那也是因为计划生育导致女生出来不了 | non-hate | non-hate [END]
那些觉得鼻涕虫交配恶心的人 | 就是冷漠了？ | non-hate | non-hate [END]
easy girl | 崇媚洋外中国好像很普遍，某些大学一年十几万几十万请连汉字都不认识多少的“高材生”？ | Sexism | hate [END]
一个穿衣服的猩猩 | 完全是在掩盖其兽性，转移目标 | Racism | hate [END]
你这种烂鲍鱼 | 一般被人叫做普信女⁉ | Sexism | hate [END]
婚论嫁 | 还是得看个人能力 | non-hate | non-hate [END]
基佬 | 炼铜是人尽皆知的 | LGBTQ | hate [END]
我 | 连谈恋爱都不想 | non-hate | non-hate [END]
这种垃圾 | 不值得生气，他会有报应的 | non-hate | non-hate [END]
这样的男女 | 跟黑人出国 | Racism | hate [SEP] 垃圾 | 不乱生...丢在国内污染环境 | Racism | hate [END]
两广 | 黑河南就觉得大家只是玩梗~玩梗～ | Region | non-hate [END]
普信男 | 必会带出普信女 | non-hate | non-hate [END]
你 | 为什么你的基因“本能”厌恶同性恋呢？ | LGBTQ | non-hate [END]
你 | 就算...真的那么有钱也不妨碍...lkd | non-hate | non-hate [END]
小仙女 | 根本不怕你们躺平而是外娶 | Sexism | non-hate [END]
這男的 | 據說好像還原諒了她，不理解 | non-hate | non-hate [END]
微博 | 能是什么好地方！ | non-hate | non-hate [END]
贵物男拳帖 | 笑死了我发了一篇...被删了 | non-hate | non-hate [END]
舔狗 | 约炮都必须体验分娩 | Sexism | non-hate [END]
这只狗狗 | 会说话的动物很难得的 | non-hate | non-hate [END]
拳师 | 这是...日常化的高级妆 | non-hate | non-hate [END]
浙江 | 我觉得气候而言。并不宜居。 | Region | non-hate [END]
东北河南 | 一家亲 | Region | non-hate [END]
三非黑人 | 该驱逐驱逐 | Racism | non-hate [END]
这种 | 就是为牢房准备的犯人 | non-hate | non-hate [END]
txl | 我在这里骂...没码，各位没有意见吧！ | LGBTQ | hate [END]
兄弟 | 你口味有点重啊 | non-hate | non-hate [END]
你 | 是天津的啊？ | non-hate | non-hate [END]
我 | 咋没看到反串差评 | non-hate | non-hate [END]
基佬 | 它们之所以把别人先禁言了又去麻人，就很好的证明了这一点，它们需要发泄 | LGBTQ | hate [END]
第二个母吠 | 删我评 | Sexism | hate [END]
你们同性恋 | 又幻想对方是0，真是饥不择食 | LGBTQ | hate [END]
大多数男人 | 哪怕上衣再帅气高端脚上依然是很土的运动鞋破皮鞋甚至露着脚踝袜子！ | non-hate | non-hate [END]
这么好的肤色 | 竟然在美国做乞丐 | Racism | non-hate [END]
南方人 | 这么有钱为哈还不受妹子待见呢 | Region | non-hate [END]
男同 | 雀食...恶心 | LGBTQ | hate [END]
这玩意 | 谁把...从笼子里面放出来的 | non-hate | non-hate [END]
网上那少部分人 | 带节奏吧 | non-hate | non-hate [END]
好人 | 就该被枪指着 | non-hate | non-hate [END]
正常中国男人 | 会跟黑人女性交往吗… | Racism | non-hate [END]
